id,eeprom,speed_mode,fan_qtd,speed_control,project_type,bios_id
1,ThinkPad T430,Hexadecimal,Single Fan,1,2,G1
2,ThinkPad T430s,Hexadecimal,Single Fan,1,2,G7
3,ThinkPad T431s,Hexadecimal,Single Fan,1,2,GH
4,ThinkPad T450s,Hexadecimal,Single Fan,1,2,JB
5,ThinkPad T450,Hexadecimal,Single Fan,1,2,JB
6,ThinkPad T540p,Hexadecimal,Single Fan,1,2,GM
7,ThinkPad T550,Hexadecimal,Single Fan,1,2,N11
8,ThinkPad W530,Hexadecimal,Single Fan,1,2,G5
9,ThinkPad W540,Hexadecimal,Single Fan,1,2,GN
10,ThinkPad T520,Hexadecimal,Single Fan,1,2,BA
11,ThinkPad X1 Carbon,Hexadecimal,Single Fan,1,2,G6
12,ThinkPad X1,Hexadecimal,Single Fan,1,2,8M
13,ThinkPad X1 Carbon 2nd,Hexadecimal,Single Fan,1,2,GR
14,ThinkPad X1 Carbon 3rd,Hexadecimal,Single Fan,1,2,N14
15,ThinkPad T440,Hexadecimal,Single Fan,1,2,GJ
16,ThinkPad T440p,Hexadecimal,Single Fan,1,2,GL
17,ThinkPad T440s,Hexadecimal,Single Fan,1,2,GJ
18,ThinkPad T460,Hexadecimal,Single Fan,1,2,R06
19,ThinkPad T460p,Hexadecimal,Single Fan,1,2,R07
20,ThinkPad T460s,Hexadecimal,Single Fan,1,2,N1C
21,ThinkPad T470,Hexadecimal,Single Fan,1,2,N1Q
22,ThinkPad T470p,Hexadecimal,Single Fan,1,2,R0F
23,ThinkPad T470p,Hexadecimal,Single Fan,1,2,N1W
24,ThinkPad T480,Hexadecimal,Single Fan,1,2,N24
25,ThinkPad T480s,Hexadecimal,Single Fan,1,2,N22
26,ThinkPad T560,Hexadecimal,Single Fan,1,2,N1K
27,ThinkPad T570,Hexadecimal,Single Fan,1,2,N1V
28,ThinkPad T580,Hexadecimal,Single Fan,1,2,N27
29,ThinkPad W541,Hexadecimal,Single Fan,1,2,GM
30,ThinkPad W550s,Hexadecimal,Single Fan,1,2,N11
31,ThinkPad X1 Carbon 4th,Hexadecimal,Single Fan,1,2,N1F
32,ThinkPad X1 Carbon 5th,Hexadecimal,Single Fan,1,2,N1M
33,ThinkPad X240,Hexadecimal,Single Fan,1,2,GI
34,ThinkPad X240s,Hexadecimal,Single Fan,1,2,GI
35,ThinkPad X260,Hexadecimal,Single Fan,1,2,R02
36,ThinkPad X270,Hexadecimal,Single Fan,1,2,R01
37,ThinkPad X280,Hexadecimal,Single Fan,1,2,N20
38,ThinkPad A485,Hexadecimal,Single Fan,1,2,R0W
39,ThinkPad A285,Hexadecimal,Single Fan,1,2,R0X
